0,-0.0411563,0
100,-0.0454047,-nan
200,-0.0467931,-nan
300,-0.0474767,-nan
400,-0.0478517,-nan
500,-0.0481603,-nan
600,-0.0483556,-nan
700,-0.0485021,-nan
800,-0.0486157,-nan
900,-0.0487072,-nan
1000,-0.0487818,-nan
1100,-0.0488439,-nan
1200,-0.0488932,-nan
1300,-0.0489416,-nan
1400,-0.0489806,-nan
1500,-0.0490038,-nan
1600,-0.0490449,-nan
1700,-0.0490718,-nan
1800,-0.0490958,-nan
1900,-0.0491173,-nan
2000,-0.0491369,-nan
2100,-0.0491546,-nan
2200,-0.0491633,-nan
2300,-0.0491839,-nan
2400,-0.0491994,-nan
2500,-0.049212,-nan
2600,-0.0492172,-nan
2700,-0.0492345,-nan
2800,-0.0492446,-nan
2900,-0.0492541,-nan
3000,-0.0492629,-nan
3100,-0.0492712,-nan
3200,-0.0492789,-nan
3300,-0.0492859,-nan
3400,-0.0492919,-nan
3500,-0.0492996,-nan
3600,-0.0493058,-nan
3700,-0.049307,-nan
3800,-0.0493172,-nan
3900,-0.0493224,-nan
4000,-0.0493274,-nan
4100,-0.0493319,-nan
4200,-0.0493367,-nan
4300,-0.0493411,-nan
4400,-0.049345,-nan
4500,-0.0493483,-nan
4600,-0.049353,-nan
4700,-0.0493566,-nan
4800,-0.0493565,-nan
4900,-0.0493626,-nan
5000,-0.0493666,-nan
5100,-0.0493697,-nan
5200,-0.0493727,-nan
5300,-0.0493756,-nan
5400,-0.0493783,-nan
5500,-0.0493779,-nan
5600,-0.0493828,-nan
5700,-0.0493861,-nan
5800,-0.0493884,-nan
5900,-0.0493878,-nan
6000,-0.049393,-nan
6100,-0.0493952,-nan
6200,-0.0493973,-nan
6300,-0.0493993,-nan
6400,-0.0494013,-nan
6500,-0.0494032,-nan
6600,-0.049405,-nan
6700,-0.0494062,-nan
6800,-0.0494086,-nan
6900,-0.0494103,-nan
7000,-0.0494095,-nan
7100,-0.0494135,-nan
7200,-0.0494151,-nan
7300,-0.0494166,-nan
7400,-0.0494181,-nan
7500,-0.0494195,-nan
7600,-0.0494209,-nan
7700,-0.0494201,-nan
7800,-0.0494231,-nan
7900,-0.0494249,-nan
8000,-0.0494262,-nan
8100,-0.0494253,-nan
8200,-0.0494286,-nan
8300,-0.0494298,-nan
8400,-0.049431,-nan
8500,-0.0494321,-nan
8600,-0.0494332,-nan
8700,-0.0494343,-nan
8800,-0.0494334,-nan
8900,-0.0494359,-nan
9000,-0.0494373,-nan
9100,-0.0494383,-nan
9200,-0.0494374,-nan
9300,-0.0494402,-nan
9400,-0.0494411,-nan
9500,-0.049442,-nan
9600,-0.0494429,-nan
9700,-0.0494438,-nan
9800,-0.0494446,-nan
9900,-0.0494438,-nan
